lead1,lead2,lead3
4174834,4196086,4200662
4176026,4193252,4196674
4174582,4194914,4199791
4175064,4198090,4202456
4174597,4198116,4202950
4173745,4198185,4203885
4173902,4197508,4203050
4173432,4197465,4203471
4175186,4198046,4202371
4174722,4198031,4202712
4173873,4198124,4203631
4174056,4197543,4202916
4173606,4197438,4203315
4175328,4197034,4201172
4174355,4198138,4203266
4173517,4198212,4204207
4173751,4197559,4203343
4173290,4197510,4203779
4174739,4198094,4202925
4174344,4197965,4203159
4173660,4198020,4203895
4173860,4197412,4203050
4173294,4198861,4205041
4174791,4197951,4202593
4175299,4196135,4200224
4175959,4193449,4196897
4175161,4194655,4198913
4172920,4199046,4205601
4174438,4198196,4203111
4174077,4197989,4203206
4173520,4197529,4203322
4173542,4197047,4202902
4173088,4198799,4205155
4174542,4197985,4202858
4174145,4197806,4203068
4173572,4197343,4203152
4173599,4196858,4202663
4173292,4197862,4203980
4174284,4198126,4203215
4173843,4197994,4203513
4173375,4197539,4203573
4173490,4197107,4203061
4173009,4198932,4205485
4174501,4198126,4203158
4174161,4197964,4203268
4173661,4197560,4203349
4173664,4197232,4203049
4173363,4198806,4204889
4175539,4196467,4200297
4176025,4194081,4197428
4174561,4195093,4199975
4171228,4199877,4208071
4173317,4198943,4205091
4174744,4197937,4202616
4174306,4197143,4202248
4173399,4196879,4202933
4170888,4199594,4208258
4173303,4198618,4204873
4175000,4197733,4202203
4174910,4197024,4201502
4174321,4196748,4201838
4171528,4198775,4206633
4173074,4198964,4205332
4174652,4197993,4202769
4174541,4197271,4202110
4174037,4197014,4202370
4171322,4199811,4207960
4173223,4198849,4205116
4174639,4197821,4202609
4174647,4196953,4201719
4174177,4196678,4201930
4171344,4199393,4207480
4173949,4197078,4202570
4176338,4193894,4197040
4175576,4194566,4198466
